kernel;num-executors;executor-cores;time
top_20_hashtags;1;1;27.590614639222622
top_20_hashtags;1;1;24.59448053687811
top_20_hashtags;1;1;26.326548786833882
top_20_hashtags;1;1;23.493286626413465
top_20_hashtags;1;1;26.11181685142219
top_20_hashtags;1;1;23.762225229293108
top_20_hashtags;1;1;23.548417706042528
top_20_hashtags;1;1;23.712562575936317
top_20_hashtags;1;1;24.68497372791171
top_20_hashtags;1;1;23.48348137922585
top_20_hashtags;1;2;25.669545393437147
top_20_hashtags;1;2;24.63233270123601
top_20_hashtags;1;2;28.34664461761713
top_20_hashtags;1;2;25.54409164749086
top_20_hashtags;1;2;23.22142705321312
top_20_hashtags;1;2;25.261989127844572
top_20_hashtags;1;2;25.092411728575826
top_20_hashtags;1;2;25.467119853943586
top_20_hashtags;1;2;23.428053956478834
top_20_hashtags;1;2;26.376203056424856
top_20_hashtags;1;3;25.807569947093725
top_20_hashtags;1;3;25.63979647681117
top_20_hashtags;1;3;26.09086848795414
top_20_hashtags;1;3;26.267256235703826
top_20_hashtags;1;3;25.603284800425172
top_20_hashtags;1;3;27.310279864817858
top_20_hashtags;1;3;24.819318529218435
top_20_hashtags;1;3;25.52882037125528
top_20_hashtags;1;3;24.37706658616662
top_20_hashtags;1;3;26.073271229863167
top_20_hashtags;1;4;23.21005405113101
top_20_hashtags;1;4;24.08629009500146
top_20_hashtags;1;4;24.179114950820804
top_20_hashtags;1;4;25.103735648095608
top_20_hashtags;1;4;27.561550131067634
top_20_hashtags;1;4;27.09695167839527
top_20_hashtags;1;4;26.12746118940413
top_20_hashtags;1;4;27.647197421640158
top_20_hashtags;1;4;26.585944890975952
top_20_hashtags;1;4;24.881188390776515
top_20_hashtags;2;1;27.278409531340003
top_20_hashtags;2;1;26.260026017203927
top_20_hashtags;2;1;23.480480287224054
top_20_hashtags;2;1;23.393359016627073
top_20_hashtags;2;1;24.942211896181107
top_20_hashtags;2;1;25.647490214556456
top_20_hashtags;2;1;27.47897968813777
top_20_hashtags;2;1;25.9565187394619
top_20_hashtags;2;1;25.932343857362866
top_20_hashtags;2;1;25.611635280773044
top_20_hashtags;2;2;26.685845846310258
top_20_hashtags;2;2;23.52888328395784
top_20_hashtags;2;2;24.427168544381857
top_20_hashtags;2;2;23.354620957747102
top_20_hashtags;2;2;27.120736237615347
top_20_hashtags;2;2;23.34605581127107
top_20_hashtags;2;2;28.811256570741534
top_20_hashtags;2;2;27.71101751551032
top_20_hashtags;2;2;24.860450200736523
top_20_hashtags;2;2;25.72947556525469
top_20_hashtags;2;3;25.44685068912804
top_20_hashtags;2;3;23.1618393342942
top_20_hashtags;2;3;26.811164656654
top_20_hashtags;2;3;26.132170863449574
top_20_hashtags;2;3;25.61389040388167
top_20_hashtags;2;3;26.0362646933645
top_20_hashtags;2;3;28.550886161625385
top_20_hashtags;2;3;25.8044698163867
top_20_hashtags;2;3;26.635520420968533
top_20_hashtags;2;3;27.119250286370516
top_20_hashtags;2;4;28.140199610963464
top_20_hashtags;2;4;24.174957141280174
top_20_hashtags;2;4;25.715348225086927
top_20_hashtags;2;4;23.40712500549853
top_20_hashtags;2;4;24.83683775551617
