kernel;num-executors;executor-cores;time
hashtag_friends;3;2;30.14396263845265
hashtag_friends;3;2;28.556018287315965
hashtag_friends;3;2;29.461643524467945
hashtag_friends;3;2;25.664210429415107
hashtag_friends;3;2;29.66600759513676
hashtag_friends;3;2;29.15825985185802
hashtag_friends;3;2;30.421296317130327
hashtag_friends;3;2;28.846970096230507
hashtag_friends;3;3;29.97054112330079
hashtag_friends;3;3;27.17786204814911
hashtag_friends;3;3;29.907319981604815
hashtag_friends;3;3;32.21786103770137
hashtag_friends;3;3;30.373761888593435
hashtag_friends;3;3;26.922634603455663
hashtag_friends;3;3;28.214616546407342
hashtag_friends;3;3;27.36159022897482
hashtag_friends;3;3;30.017274912446737
hashtag_friends;3;3;27.488544395193458
hashtag_friends;3;4;28.826892191544175
hashtag_friends;3;4;29.02055685594678
hashtag_friends;3;4;27.143491001799703
hashtag_friends;3;4;29.68142195418477
hashtag_friends;3;4;29.13721245713532
hashtag_friends;3;4;29.86635229177773
hashtag_friends;3;4;26.769029770046473
hashtag_friends;3;4;28.652981348335743
hashtag_friends;3;4;31.972875360399485
hashtag_friends;3;4;28.742701889947057
